no,romaji,kana,kanji,meaning_mm
5492,tansū,たんすう,単数,ဧကဝုဓ်ကိန်း
5493,dansei,だんせい,男性,အမျိုးသား
5494,tansen,たんせん,単線,တစ်လမ်းသွားရထားလမ်း
5495,danzen,だんぜん,断然,ယတိပြတ်၊ ပြတ်ပြတ်သားသား
5496,tanso,たんそ,炭素,ကာဗွန်
5497,tandai,たんだい,短大,ဂျူနီယာကောလိပ်
5498,dantai,だんたい,団体,အသင်းအဖွဲ့
5499,dandan,だんだん,段々,တဖြည်းဖြည်း
5500,danchi,だんち,団地,စုပေါင်းရိပ်သာ
5501,tanchō(na),たんちょう（な）,単調（な）,အပြောင်းအလွဲမရှိသော
5502,dantei(suru),だんてい（する）,断定（する）,တွေးတာဆုံးဖြတ်ခြင်း
5503,tanteki(na),たんてき（な）,端的（な）,ပြတ်ပြတ်သားသားဖြစ်သော
5504,dantō,だんとう,暖冬,နွေးထွေးသောဆောင်းရာသီ
5505,tantō(suru),たんとう（する）,担当（する）,တာဝန်ခံ၊ တာဝန်ယူခြင်း
5506,tandoku,たんどく,単独,တစ်ဦးတည်း
5507,dantotsu,だんトツ,断トツ,သူများထက်အရမ်းထူးချွန်ခြင်း
5508,dandori,だんどり,段取り,ကြိုတင်ပြင်ဆင်မှု
5509,danna,だんな,旦那,မိမိ၏ယောက်ျား
5510,tannaru,たんなる,単なる,ရိုးရိုးဖြစ်သော
5511,tanni,たんに,単に,~ရုံသာ
5512,dannen(suru),だんねん（する）,断念（する）,လက်လျှော့ခြင်း
5513,tampa,たんぱ,短波,ရေဒီယိုလှိုင်းတို
5514,tampakushitsu,たんぱくしつ,蛋白質,အသားဓါတ်
5515,damputorakku,ダンプトラック,dump truck,သဲ၊ ကျောက်တင်ယာဥ်
5516,tampen,たんぺん,短編,ဝတ္ထုတို
5517,dampen,だんぺん,断片,အပိုင်းအစ
5518,dambō,だんぼう,暖房,လေပူပေးစက်
5519,dambōru,だんボール,段ボール,ပါကင်ပေပါ၊ ပါကင်စက္ကူ
5520,dammen,だんめん,断面,ဖြတ်ပိုင်းပုံ
5521,danran,だんらん,団欒,မိသားစုသိုက်သိုက်ဝန်းဝန်းအချိန်ကုန်လွန်ခြင်း
5522,danryoku,だんりょく,弾力,ရုန်းကန်အား
5523,tanren(suru),たんれん（する）,鍛錬（する）,ကြံ့ခိုင်အောင်လေ့ကျင့်ခြင်း
5524,danwa,だんわ,談話,ပြောဆိုချက်
5525,chi,ち,地,မြေကြီး
5526,chi,ち,血,သွေး
5527,chian,ちあん,治安,လုံခြုံမှု၊ ငြိမ်ဝပ်ပိပြားရေး
5528,chii,ちい,地位,ရာထူး၊ အဆင့်၊ ရပ်တည်ချက်
5529,chiiki,ちいき,地域,နယ်မြေဒေသ
5530,chīsana(na),ちいさな（な）,小さな（な）,သေးသော
5531,chīsai,ちいさい,小さい,သေးသော
5532,chīzu,チーズ,cheese,ဒိန်ခဲ
5533,chīmu,チーム,team,အသင်းအဖွဲ့
5534,chīmuwāku,チームワーク,teamwork,စုပေါင်းလက်တွဲဆောင်ရွက်မှု
5535,chie,ちえ,知恵,အသိဥာဏ်
5536,chekku(suru),チェック（する）,check,စစ်ဆေးခြင်း
5537,chenji(suru),チェンジ（する）,change,ပြောင်းလဲမှု
5538,chika,ちか,地下,မြေအောက်
5539,chikai,ちかい,近い,နီးသော
5540,chigai,ちがい,違い,ခြားနားချက်၊ ကွာခြားချက်
5541,chigainai,ちがいない,違いない,မလွဲမသွေဖြစ်သည်
5542,chikau,ちかう,誓う,သစ္စာပြုသည်
5543,chigau,ちがう,違う,မဟုတ်ဘူး၊ မှားသည်
5544,chikaku,ちかく,近く,အနီးအနား၊ ဒီအနီးအနားတဝိုက်
5545,chikaku,ちかく,知覚,ဦးနှောက်လုပ်ဆောင်ချက်၊ သိမြင်မှု
5546,chikagoro,ちかごろ,近頃,အခုတလော
5547,chikasui,ちかすい,地下水,မြေအောက်ရေ
5548,chikajika,ちかぢか,近々,မကြာမှီအချိန်အတွင်း
5549,chikazuku,ちかづく,近づく,ချည်းကပ်သည်၊ နီးလာသည်
5550,chikatetsu,ちかてつ,地下鉄,မြေအောက်ရထား
5551,chikayoru,ちかよる,近寄る,ချဥ်းကပ်သည်
5552,chikara,ちから,力,အင်အား
5553,chikaraippai,ちからいっぱい,力いっぱい,အစွမ်းကုန်
5554,chikarazuyoi,ちからづよい,力強い,အားကိုးလောက်အောင်အင်အားကြီးသော၊ အားသန်သော
5555,chikyū,ちきゅう,地球,ကမ္ဘာမြေကြီး
5556,chigiru,ちぎる,,ဖဲ့သည်၊ ဆုတ်သည်
5557,chiku,ちく,地区,နယ်မြေ၊ ရပ်ကွက်
5558,chikusan,ちくさん,畜産,တိရိစ္ဆာန်မွေးမြူရေး
5559,chikushō,ちくしょう,畜生,တိရိစ္ဆာန်ဘုံ
5560,chikuseki(suru),ちくせき（する）,蓄積（する）,စုပုံခြင်း၊ သိုလှောင်ခြင်း
5561,takeumanotomo,たけうまのとも,竹馬の友,ငယ်သူငယ်ချင်း
5562,chikei,ちけい,地形,မြေအနေအထား
5563,chikoku(suru),ちこく（する）,遅刻（する）,နောက်ကျခြင်း၊ သတ်မှတ်ထားသောအချိန်ကိုမမှီခြင်း
5564,chiji,ちじ,知事,ခရိုင်ဝန်
5565,chishiki,ちしき,知識,အသိဥာဏ်၊ ဗဟုသုတ
5566,chishitsu,ちしつ,地質,မြေထုအနေအထား
5567,chijin,ちじん,知人,အသိမိတ်ဆွေ
5568,chizu,ちず,地図,မြေပုံ
5569,chisei,ちせい,知性,အသိဥာဏ်
5570,chitai,ちたい,地帯,ဒေသ
5571,chichi,ちち,乳,နို့
5572,chichi,ちち,父,အဖေ
5573,chichioya,ちちおや,父親,ဖခင်
5574,chijimaru,ちぢまる,縮まる,ကျုံသည်
5575,chijimu,ちぢむ,縮む,ကျုံဝင်သည်
5576,chijimeru,ちぢめる,縮める,ကျုံစေသည်၊ ချုံ့သည်
5577,chijireru,ちぢれる,縮れる,တွန့်လိမ်သည်၊ ဆံပင်ကောက်သည်
5578,chitsujo,ちつじょ,秩序,စည်းကမ်း၊ ငြိမ်ဝပ်ပိပြားရေး
5579,chissoku(suru),ちっそく（する）,窒息（する）,အသက်ရှူကျပ်ခြင်း
5580,chittomo,ちっとも,,နဲနဲမှ
5581,chippu,チップ,chip,မုန့်ဘိုး
5582,chiteki(na),ちてき（な）,知的（な）,အသိဥာဏ်နှင့်ဆိုင်သော
5583,chiten,ちてん,地点,အရပ်၊ တည်နေရာ
5584,chinō,ちのう,知能,ဥာဏ်စွမ်း
5585,chinomigo,ちのみご,乳飲み子,နို့စို့ကလေး
5586,chiheisen,ちへいせん,地平線,မိုးကုတ်စက်ဝိုင်း
5587,chihō,ちほう,地方,ဒေသ၊ နယ်
5588,chihōjichitai,ちほうじちたい,地方自治体,ကိုယ်ပိုင်အုပ်ချုပ်ရေးအဖွဲ့
5589,chimei,ちめい,地名,အရပ်နာမည်
5590,cha(ocha),ちゃ（おちゃ）,茶（お茶）,လက်ဖက်၊ ရေနွေးကြမ်း
5591,chaimu,チャイム,chime,အချက်ပေးတီးလုံး
5592,chairo,ちゃいろ,茶色,အညိုရောင်
5593,〜chaku,〜ちゃく,〜着,ဆိုက်ရောက်ခြင်း
5594,〜chaku,〜ちゃく,〜着,ပြိုင်ပွဲအရေအတွက်
5595,chakujitsu(na),ちゃくじつ（な）,着実（な）,တိကျသော၊ မှန်မှန်တိုးတက်သော
5596,chakushu(suru),ちゃくしゅ（する）,着手（する）,စတင်လုပ်ကိုင်ခြင်း
5597,chakushoku(suru),ちゃくしょく（する）,着色（する）,အရောင်ဆိုးခြင်း
5598,chakuseki(suru),ちゃくせき（する）,着席（する）,နေရာယူခြင်း
5599,chakuchakuto,ちゃくちゃくと,着々と,ချောချောမောမော
5600,chakumoku(suru),ちゃくもく（する）,着目（する）,သတိပြုကြည့်ခြင်း
5601,chakuriku(suru),ちゃくりく（する）,着陸（する）,လေယာဥ်ဆင်းသက်ခြင်း
5602,chakkō(suru),ちゃっこう（する）,着工（する）,စတင်ဆောက်လုပ်ခြင်း
5603,chanoma,ちゃのま,茶の間,ထမင်းစားခန်း
5604,chanoyu,ちゃのゆ,茶の湯,လက်ဖက်ရည်ဝိုင်း
5605,chiyahoya(suru),ちやほや（する）,,အလိုလိုက်ခြင်း
5606,charenji(suru),チャレンジ（する）,,စိန်ခေါ်ခြင်း
5607,chawan,ちゃわん,茶碗,ပန်းကန်လုံး
5608,〜chan,〜ちゃん,,မ၊ မောင်
5609,chansu,チャンス,chance,အခွင့်အရေး
5610,chanto,ちゃんと,,စနစ်တကျ
5611,channeru,チャンネル,channel,အစီအစဥ်လိုင်း၊ ချန်နယ်
5612,champion,チャンピオン,champion,ချန်ပီယံ
5613,naka,なか,中,အလယ်
5614,chū,ちゅう,注,မှတ်ချက်
5615,naka,ちゅう,中,...တုန်း၊ ...ဆဲ
5616,chūi(suru),ちゅうい（する）,注意（する）,သတိထားခြင်း
5617,chūō,ちゅうおう,中央,အလယ်ဗဟို
5618,chūkai(suru),ちゅうかい（する）,仲介（する）,ကြားဝင်ဖျန်ဖြေခြင်း
5619,chūgaeri(suru),ちゅうがえり（する）,宙返り（する）,ဂျွန်းဘားထိုးသည်
5620,chūgakusei,ちゅうがくせい,中学生,အလယ်တန်းကျောင်းသား
5621,chūgakkō,ちゅうがっこう,中学校,အလယ်တန်းကျောင်း
5622,chūkaryōri,ちゅうかりょうり,中華料理,တရုတ်ဟင်းလျာ
5623,chūkan,ちゅうかん,中間,ကြား
5624,chūkei(suru),ちゅうけい（する）,中継（する）,တိုက်ရိုက်ထုတ်လွှင့်ခြင်း၊ ကြားဝင်ဆက်သွယ်ခြင်း
5625,chūko,ちゅうこ,中古,အဟောင်း၊ တစ်ပတ်ရစ်
5626,chūgoku,ちゅうごく,中国,တရုတ်ပြည်
5627,chūkoku(suru),ちゅうこく（する）,忠告（する）,သတိပေးခြင်း
5628,chūsai(suru),ちゅうさい（する）,仲裁（する）,ဖြန်ဖြေပေးခြင်း၊ ဖြန်ဖြေမှု
5629,chūzaiin,ちゅうざいいん,駐在員,နိုင်ငံခြားတွင်တာဝန်ထမ်းဆောင်သူ(ကိုယ်စားလှယ်)
5630,chūshisuru,ちゅうしする,中止する,ရပ်နားခြင်း
5631,chūjitsu(na),ちゅうじつ（な）,忠実（な）,လိုက်နာဆောင်ရွက်သော၊ နာခံသော
5632,chūsha(suru),ちゅうしゃ（する）,注射（する）,ဆေးထိုးခြင်း
5633,chūsha(suru),ちゅうしゃ（する）,駐車（する）,ကားရပ်နားခြင်း
5634,chūshaku,ちゅうしゃく,注釈,မှတ်ချက်
5635,chūshajō,ちゅうしゃじょう,駐車場,ကားရပ်ရာနေရာ
5636,chūshutsu(suru),ちゅうしゅつ（する）,抽出（する）,ကောက်နုတ်ယူခြင်း
5637,chūjun,ちゅうじゅん,中旬,လလယ်
5638,chūshō,ちゅうしょう,抽象,စိတ်ကူးသဘော
5639,chūshō(suru),ちゅうしょう（する）,中傷（する）,ဂုဏ်သိက္ခာထိခိုက်အောင်ပြောသည်
5640,chūshōteki(na),ちゅうしょうてき（な）,抽象的（な）,အာရုံခံဆိုင်ရာ
5641,chūshoku,ちゅうしょく,昼食,နေ့လယ်စာ
5642,chūshin,ちゅうしん,中心,အလယ်ဗဟို
5643,chūshin,ちゅうしん,忠臣,နောက်လိုက်ငယ်သား
5644,chūsū,ちゅうすう,中枢,အဓိကကျသောအပိုင်း
5645,chūsei,ちゅうせい,中世,အလယ်ခေတ်
5646,chūsei,ちゅうせい,中性,ဓါတ်ပြယ်ခြင်း၊ ကြားနေလက္ခဏာ
5647,chūsen(suru),ちゅうせん（する）,抽選（する）,မဲနှိုက်ခြင်း
5648,chūdan(suru),ちゅうだん（する）,中断（する）,ခဏရပ်စဲခြင်း၊ ခဏပြတ်တောက်ခြင်း
5649,chūto,ちゅうと,中途,လမ်းခုလတ်၊ တဝက်တပျက်
5650,chūdoku,ちゅうどく,中毒,အဆိပ်သင့်ခြင်း
5651,chūtohampa,ちゅうとはんぱ,中途半端,တဝက်တပျက်ဖြစ်သော၊ ဆန့်တငံ့ငံ့
5652,chūnen,ちゅうねん,中年,လူလတ်ပိုင်း
5653,chūfuku,ちゅうふく,中腹,တောင်လယ်
5654,chūbō,ちゅうぼう,厨房,မီးဖိုချောင်(တရုတ်အခေါ်)၊ စားဖိုချောင်
5655,chūmoku(suru),ちゅうもく（する）,注目（する）,အာရုံစိုက်ကြည့်ခြင်း
5656,chūmon(suru),ちゅうもん（する）,注文（する）,မှာကြားခြင်း၊ ကဂျီကဂျောင်ပြောဆိုခြင်း
5657,chūya,ちゅうや,昼夜,နေ့လယ်နှင့်ည၊ နေ့ရောညပါ
5658,chūritsu,ちゅうりつ,中立,ကြားနေရေး၊ ဘက်မလိုက်ခြင်း
5659,chūryū(suru),ちゅうりゅう（する）,駐留（する）,တပ်စခန်းချခြင်း
5660,chūrinjō,ちゅうりんじょう,駐輪場,စက်ဘီးရပ်နေရာ
5661,chūwa(suru),ちゅうわ（する）,中和（する）,ဓါတ်ပြယ်ခြင်း
5662,〜cho,〜ちょ,〜著,...ရေးသားထားခြင်း
5663,choichoi,ちょいちょい,,မကြာခဏ
5664,chō,ちょう,腸,အူ
5665,〜chou,〜ちょう,〜長,အကြီးအကဲ
5666,〜chō,〜ちょう,〜兆,သိန်းကုဋေ
5667,chō〜,ちょう〜,超〜,သာမာန်ထက်ပိုသော၊ အရမ်း
5668,chou(chōchou),ちょう（ちょうちょう）,蝶,လိပ်ပြာ
5669,chōin(suru),ちょういん（する）,調印（する）,လက်မှတ်ထိုးခြင်း(စာချုပ်တွင်)
5670,chōka(suru),ちょうか（する）,超過（する）,ကျော်လွန်ခြင်း
5671,chōkaku,ちょうかく,聴覚,အကြားအာရုံခံစားမှု
5672,chōkan,ちょうかん,長官,အတွင်းဝန်ချုပ်
5673,chōkan,ちょうかん,朝刊,မနက်သတင်း
5674,chōki,ちょうき,長期,ရက်ရှည်လများ
5675,choukō,ちょうこう,徴候（兆候）,အရိပ်အရောင်
5676,chōkō(suru),ちょうこう（する）,聴講（する）,သင်တန်းတက်ရောက်ခြင်း၊ နားထောင်ခြင်း
5677,chōkoku(suru),ちょうこく（する）,彫刻（する）,ပန်းပု
5678,chōsa(suru),ちょうさ（する）,調査（する）,စုံစမ်းစစ်ဆေးမှု
5679,chōshi,ちょうし,調子,အခြေအနေ၊ အရှိန်
5680,chōsha,ちょうしゃ,庁舎,အစိုးရအဆောက်ဦး
5681,chōshū(suru),ちょうしゅう（する）,徴収（する）,ငွေကောက်ခံခြင်း
5682,chōsho,ちょうしょ,長所,ကောင်းကွက်၊ ကောင်းသောအချက်
5683,chōjo,ちょうじょ,長女,သမီးကြီး
5684,chōjō,ちょうじょう,頂上,တောင်ထိပ်
5685,chōshinki,ちょうしんき,聴診器,နားကျပ်
5686,chōsei(suru),ちょうせい（する）,調整（する）,ညှိခြင်း
5687,chōsetsu(suru),ちょうせつ（する）,調節（する）,ညှိခြင်း
5688,chōsen(suru),ちょうせん（する）,挑戦（する）,စိန်ခေါ်ခြင်း
5689,chōdai,ちょうだい,頂戴,ပေးပါ
5690,chōtatsu(suru),ちょうたつ（する）,調達（する）,ဝယ်ယူခြင်း
5691,chōtan,ちょうたん,長短,အရှည်အတို
5692,chōtei(suru),ちょうてい（する）,調停（する）,ကြားဝင်စေ့စပ်ခြင်း
5693,chōten,ちょうてん,頂点,အထွတ်အထိပ်၊ ထောင့်စွန်း
5694,chōdo,ちょうど,丁度,တိတိ
5695,chōnan,ちょうなん,長男,သားအကြီးဆုံး
5696,jūfuku(suru),じゅうふく（する）,重複（する）,ထပ်နေခြင်း
5697,chōhen,ちょうへん,長編,ဝတ္ထုရှည်
5698,chōhō(na),ちょうほう（な）,重宝（な）,တန်ဘိုးရှိသော
5699,chōhōkei,ちょうほうけい,長方形,ထောင့်မှန်စတိုဂံ
5700,chōmiryō,ちょうみりょう,調味料,ဟင်းခတ်အမွှးအကြိုင်များ
5701,〜hinotome,〜ひのとめ,〜丁目,ရပ်ကွက်၏အမှတ်စဥ်
5702,chōri(suru),ちょうり（する）,調理（する）,ချက်ပြုတ်ခြင်း
5703,chōrei,ちょうれい,朝礼,မနက်အစည်းအဝေး
5704,chōwa(suru),ちょうわ（する）,調和（する）,ညီညွတ်ခြင်း၊ လိုက်ဖက်ခြင်း၊ လိုက်လျောညီထွေခြင်း
5705,chōku,チョーク,chalk,မြေဖြူ
5706,chokin(suru),ちょきん（する）,貯金（する）,ငွေစုခြင်း
5707,chokugo(ni),ちょくご（に）,直後（に）,ပြီးပြီးနောက်၊ ပြီးပြီးချင်း
5708,chokusetsu,ちょくせつ,直接,တိုက်ရိုက်
5709,chokusen,ちょくせん,直線,မျဥ်းဖြောင့်
5710,chokuzen,ちょくぜん,直前,မဖြစ်ခင်၊ ဖြစ်ခါနီး၊ ဆဲဆဲ
5711,chokusō(suru),ちょくそう（する）,直送（する）,တိုက်ရိုက်ပို့ခြင်း
5712,chokuchoku,ちょくちょく,,ခဏခဏ
5713,chokutsū,ちょくつう,直通,တိုက်ရိုက်ဆက်သွားနိုင်ခြင်း
5714,chokumen(suru),ちょくめん（する）,直面（する）,ရင်ဆိုင်ခြင်း
5715,chokuryū,ちょくりゅう,直流,တိုက်ရိုက်လျှပ်စီးကြောင်း
5716,chokorēto,チョコレート,chocolate,ချောကလက်
5717,chosha,ちょしゃ,著者,စာအုပ်ရေးသူ၊ ကလောင်ရှင်
5718,chosho,ちょしょ,著書,စာအုပ်စာတမ်း
5719,chozō(suru),ちょぞう（する）,貯蔵（する）,သိုလှောင်ခြင်း
5720,chochiku(suru),ちょちく（する）,貯蓄（する）,ငွေစုခြင်း
5721,chokkaku,ちょっかく,直角,ထောင့်မှန်
5722,chokkan(suru),ちょっかん（する）,直感（する）,အလိုလျှောက်သိရခြင်း
5723,chokkei,ちょっけい,直径,အချင်း
5724,chotto,ちょっと,,ခဏ၊ အနည်းငယ်
5725,chomei(na),ちょめい（な）,著名（な）,နာမည်ကြီးသော
5726,chirakasu,ちらかす,散らかす,ရှုပ်ပွစေသည်
5727,chirakaru,ちらかる,散らかる,ပရမ်းပတာရှိသည်၊ ရှုပ်ပွနေသည်
5728,chirashi,チラシ,,လက်ကမ်းကြော်ငြာ
5729,chirasu,ちらす,散らす,ဖြန့်ကြဲသည်
5730,chiratto,ちらっと,,လျှပ်တပြတ်၊ ခဏတဖြုတ်
5731,chiri,ちり,塵,ဖုန်မှုန့်
5732,chiri,ちり,地理,ပထဝီ
5733,chirigami,ちりがみ,ちり紙,အိမ်သာသုံးစက္ကူ
5734,chiritori,ちりとり,塵取り,ကော်ပြား
5735,chiryō(suru),ちりょう（する）,治療（する）,ဆေးကုသခြင်း
5736,chiru,ちる,散る,ကြွေကျသည်
5737,chingin,ちんぎん,賃金,လုပ်ခ
5738,chintai(suru),ちんたい（する）,賃貸（する）,ငှားရမ်းခြင်း
5739,chinchō(suru),ちんちょう（する）,珍重（する）,မြတ်နိုးမှု၊ တန်ဖိုးထားမှု၊ ကြည်ညိုမှု
5740,chinden(suru),ちんでん（する）,沈殿（する）,အနည်ထိုင်ခြင်း
5741,chimpanjī,チンパンジー,chimpanzee,အာဖရိကဝက်ဝံ
5742,chimbotsu(suru),ちんぼつ（する）,沈没（する）,နစ်မြုပ်ခြင်း
5743,chimmoku(suru),ちんもく（する）,沈黙（する）,နှုတ်ပိတ်နေခြင်း
5744,chinretsu(suru),ちんれつ（する）,陳列（する）,ခင်းကျင်းပြသခြင်း
5745,tsuā,ツアー,tour,ခရီးစဥ်၊ ခရီးသွားခြင်း
5746,tai,たい,対,အစုံ၊ အရံ
5747,tsui,つい,,အမှတ်တမဲ့
5748,tsuika(suru),ついか（する）,追加（する）,ထပ်ဖြည့်ခြင်း၊ ထပ်ပေါင်းခြင်း
5749,tsuikyū(suru),ついきゅう（する）,追及（する）,ရှာဖွေစုံစမ်းမှု၊ အပြစ်တင်ခြင်း
5750,tsuikyū(suru),ついきゅう（する）,追究（する）,လေးလေးနက်နက်ရှာဖွေစုံစမ်းသုတေသနပြုခြင်း
5751,tsuikyū(suru),ついきゅう（する）,追求（する）,လိုချင်တာကိုလိုက်ရှာခြင်း
5752,tsuishiken,ついしけん,追試験,နောက်ဆက်တွဲစာမေးပွဲ
5753,tsuishin,ついしん,追伸,စာကြွင်း
5754,tsuiseki(suru),ついせき（する）,追跡（する）,နောက်ယောင်ခံခြင်း
5755,ichinichi,いちにち,一日,တစ်ရက်နေ့
5756,tsuide(ni),ついで（に）,,တလက်စတည်း
5757,tsuiteiku,ついていく,付いていく,လိုက်သွားသည်
5758,tsuiteiru,ついている,,ကံကောင်းသည်
5759,tsuini,ついに,,နောက်ဆုံးမှာတော့
5760,tsuihō(suru),ついほう（する）,追放（する）,နှင်ထုတ်ခြင်း
5761,tsuiyasu,ついやす,費やす,အကုန်အကျခံခြင်း
5762,tsuiraku(suru),ついらく（する）,墜落（する）,ပျက်ကျသည်(လေယာဥ်ပျံ)
5763,tsū,つう,通,စာ၊ စာရွက်ကိုရေတွက်သည့်ယူနစ်
5764,tsūka,つうか,通貨,ငွေကြေး
5765,tsūka(suru),つうか（する）,通過（する）,ဖြတ်ကျော်ခြင်း
5766,tsūgaku(suru),つうがく（する）,通学（する）,ကျောင်းတတ်ခြင်း
5767,tsūkan(suru),つうかん（する）,痛感（する）,ပြင်းပြင်းထန်ထန်ခံစားရခြင်း
5768,tsūkin(suru),つうきん（する）,通勤（する）,အလုပ်သွားလာခြင်း
5769,tsūkō(suru),つうこう（する）,通行（する）,အသွားအလာ
5770,tsūjō,つうじょう,通常,သာမာန်အားဖြင့်
5771,tsūjiru/suru,つうじる／する,通じる／する,သဘောပေါက်သည်
5772,tsūshin(suru),つうしん（する）,通信（する）,ဆက်သွယ်ရေး
5773,tsūsetsu(na),つうせつ（な）,痛切（な）,လေးလေးနက်နက်ခံစားရသော
5774,tsūchi(suru),つうち（する）,通知（する）,အသိပေးခြင်း၊ အကြောင်းကြားခြင်း
5775,kayoichō,かよいちょう,通帳,ငွေစုစာအုပ်
5776,tsūhō(suru),つうほう（する）,通報（する）,သတင်းပို့ခြင်း
5777,tsūyaku(suru),つうやく（する）,通訳（する）,စကားပြန်
5778,tsūyō(suru),つうよう（する）,通用（する）,အသုံးဝင်ခြင်း
5779,tsūrei,つうれい,通例,လူကျင့်ဝတ်၊ အလေ့အထ၊ သာမာန်
5780,tsūro,つうろ,通路,လူသွားလမ်း
5781,tsue,つえ,杖,တောင်ဝှေး
5782,tsukaikonasu,つかいこなす,使いこなす,ကျွမ်းကျင်ပိုင်နိုင်စွာသုံးသည်
5783,tsukaisutekamera,つかいすてカメラ,使い捨てカメラ,တစ်ခါသုံးကင်မရာ
5784,tsukaimichi,つかいみち,使い道,သုံးနည်း၊ သုံးစွဲပုံနည်းလမ်း
5785,tsukau,つかう,使う,အသုံးပြုသည်
5786,sasaeru,ささえる,支える,အမှုထမ်းသည်
5787,tsukasadoru,つかさどる,司る,တာဝန်ယူအလုပ်လုပ်သည်၊ တာဝန်ယူထမ်းဆောင်သည်
5788,tsukanoma,つかのま,束の間,ခဏတဖြုတ်
5789,tsukamaeru,つかまえる,捕まえる,ဖမ်းဆီးသည်
5790,tsukamaru,つかまる,捕まる,ဖမ်းမိသည်
5791,tsukamu,つかむ,掴む,ဆုပ်ကိုင်သည်
5792,tsukare,つかれ,疲れ,ပင်ပန်းခြင်း၊ မောပန်းခြင်း
5793,tsukareru,つかれる,疲れる,မောသည်
5794,tsuki,つき,月,လ
5795,tsugi(no),つぎ（の）,次（の）,နောက်
5796,tsukiai,つきあい,付き合い,ပေါင်းသင်းဆက်ဆံမှု
5797,tsukiau,つきあう,付き合う,ပေါင်းသင်းဆက်ဆံသည်
5798,tsukiau,つきあう,付き合う,လမ်းဦးတိုက်၊ တိုက်မိခြင်း
5799,tsukiatari,つきあたり,突き当たり,ရင်ဆိုင်တိုက်မိသည်
5800,tsugitsugi(ni),つぎつぎ（に）,次々（に）,ဆက်ကာဆက်ကာ
5801,tsukinami(na),つきなみ（な）,月並み（な）,သာမာန်ဖြစ်သော
5802,tsukihi,つきひ,月日,ရက်နှင့်လ၊ အချိန်ကာလ
5803,tsugime,つぎめ,継ぎ目,အဆက်အစပ်၊ ဆက်ထားသည့်အပိုင်း
5804,tsukiyubi(suru),つきゆび（する）,突き指（する）,လက်ချောင်းခေါက်ခြင်း
5805,tsukiyo,つきよ,月夜,လသာသောည
5806,tsukiru,つきる,尽きる,ကုန်ခမ်းသည်
5807,tsuku,つく,付く,စွဲငြိသည်
5808,tsuku,つく,突く,ထိုးသည်
5809,sosogu,そそぐ,注ぐ,လောင်းသည်၊ ငှဲ့သည်၊ ထမင်းကိုထည့်သည်
5810,tsugu,つぐ,継ぐ,ဆက်ခံသည်
5811,tsugu,つぐ,次ぐ,နောက်ဆက်သည်
5812,tsugu,つぐ,接ぐ,ဆက်သည်
5813,tsuku(dentōga),つく（でんとうが）,つく（電灯が）,မီးလုံးပွင့်သည်
5814,tsuku(nipponni),つく（にっぽんに）,着く（日本に）,ဆိုက်ရောက်သည်
5815,tsuku(rimokongatsuku),つく（リモコンがつく）,,တွဲ၍ပါသည်
5816,tsukue,つくえ,机,စားပွဲ
5817,tsukusu,つくす,尽くす,ကျေပွန်သည်
5818,tsukuzuku,つくづく,,စိတ်ပါလက်ပါ၊ လေးလေးနက်နက်
5819,tsugunai,つぐない,償い,လျော်ကြေးပေးခြင်း
5820,tsukuri/tsukuri,つくり／つくり,作り／造り,တည်ဆောက်ပုံ
5821,tsukuru/tsukuru,つくる／つくる,作る／造る,တည်ဆောက်သည်၊ ပြုလုပ်သည်
5822,tsukurou,つくろう,繕う,ဖာထေးသည်
5823,tsukekuwaeru,つけくわえる,付け加える,ပေါင်းထည့်သည်
5824,tsukeru,つける,付ける,တပ်ဆင်သည်
5825,tsukeru,つける,漬ける,နှစ်သည်၊ စိမ်သည်
5826,tsugeru,つげる,告げる,တိုင်ကြားသည်
5827,tsukeru(kio),つける（きを）,つける（気を）,ဂရုစိုက်သည်၊ သတိထားသည်
5828,tsukeru(denkio),つける（でんきを）,つける（電気を）,မီးကိုဖွင့်သည်
5829,tsugō,つごう,都合,အခြေအနေ
5830,tsujitsuma,つじつま,辻褄,စကား၏ရှေ့နောက်ညီမှု
5831,tsutaeru,つたえる,伝える,တဆင့်ပြောသည်
5832,tsutawaru,つたわる,伝わる,တဆင့်ပြောခံရသည်၊ သတင်းရသည်
5833,tsuchi,つち,土,မြေကြီး
5834,tsutsu,つつ,筒,ပြွန်၊ ပိုက်
5835,tsuzuki,つづき,続き,အဆက်
5836,tsutsuku,つつく,突つく,ထိုးဆိတ်သည်
5837,tsuzuku,つづく,続く,ဆက်သည်
5838,tsuzukeru,つづける,続ける,ဆက််လက်ပြုလုပ်သည်
5839,tsukkomu,つっこむ,突っ込む,ထိုးထွင်းသည်
5840,tsutsushimu,つつしむ,謹む,ကြည်ညိုစွာဖြင့်တရိုတသေလုပ်ဆောင်သည်
5841,tsutsushimu,つつしむ,慎む,စောင့်စည်းသည်၊ ချုပ်တည်းသည်
5842,tsupparu,つっぱる,突っ張る,တွန်းကန်သည်
5843,tsutsumi,つつみ,包み,အထုပ်
5844,tsutsumu,つつむ,包む,ထုပ်ပိုးသည်
5845,tsudo,つど,都度,အခေါက်တိုင်း၊ သွားတိုင်း၊ ရောက်တိုင်း
5846,tsutomaru,つとまる,勤まる,တာဝန်ယူလုပ်ကိုင်သည်
5847,tsutome/tsutome,つとめ/つとめ,勤め/務め,အလုပ်အကိုင်
